Sample	Round	Cage	Mouse	Day	treatment	diet	mouse_id	salmonella_relative_abundance	ng_Lc_per_g_feces
44-(11)-C-F-LJ	3	NA	44	11	control	chow	3_44	2.7802233446086835e-4	4.727428742185094
45-(11)-C-F-LK	3	NA	45	11	control	chow	3_45	0	8.504425701919768
46-(11)-C-F-LL	3	NA	46	11	control	chow	3_46	0	14.518574819318776
47-(11)-C-F-LM	3	NA	47	11	control	chow	3_47	3.7223517426483553e-4	5.998849843889537
49-(11)-C-F-LO	3	NA	49	11	control	chow	3_49	0	9.29088300606063
50-(11)-C-F-LP	3	NA	50	11	control	chow	3_50	0	7.426034992116425
MED	1	NA	1	11	control	chow	1_1	0	NA
MFE	1	NA	2	11	control	chow	1_2	0	NA
MHG	1	NA	4	11	control	chow	1_4	0	NA
MKJ	1	NA	7	11	control	chow	1_7	0	NA
MNM	1	NA	10	11	control	chow	1_10	0	NA
5_1_1_11	5	1	1	11	control	chow	5_1_1	0	NA
5_1_2_11	5	1	2	11	control	chow	5_1_2	0	NA
5_1_3_11	5	1	3	11	control	chow	5_1_3	0	NA
5_1_4_11	5	1	4	11	control	chow	5_1_4	0	NA
5_1_5_11	5	1	5	11	control	chow	5_1_5	0	NA
13-(11)-S-F-KE	3	NA	13	11	salmonella	chow	3_13	0.8162018704187379	113.47938966436013
15-(11)-S-F-KG	3	NA	15	11	salmonella	chow	3_15	0.7985562161102764	261.17222382351434
16-(11)-S-F-KH	3	NA	16	11	salmonella	chow	3_16	0.9423433646858564	169.34172965090337
20-(11)-S-F-KL	3	NA	20	11	salmonella	chow	3_20	0.7724623066138673	1382.8275031607075
27-(11)-S-F-KS	3	NA	27	11	salmonella	chow	3_27	0.2576158940397351	146.6932029884481
28-(11)-S-F-KT	3	NA	28	11	salmonella	chow	3_28	0.6688401775804661	97.03892825542567
NVU	1	NA	44	11	salmonella	chow	1_44	0.5939591966847306	NA
NXW	1	NA	46	11	salmonella	chow	1_46	0.30264124676128235	NA
LXA_2	2	NA	10	11	salmonella	chow	2_10	0.49694952856350527	NA
5_3_3_11	5	3	3	11	salmonella	chow	5_3_3	0.48884878174552016	NA
5_3_4_11	5	3	4	11	salmonella	chow	5_3_4	0.7088510507746587	NA
5_5_4_11	5	5	4	11	salmonella	chow	5_5_4	0.4242010217417132	NA
5_5_5_11	5	5	5	11	salmonella	chow	5_5_5	0.2922639123102867	NA
5_8_2_11	5	8	2	11	salmonella	chow	5_8_2	0.32326745271015356	NA
